Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_53_346.jpg;-3.990784;0;0;0;99.66999;85.58897;0.0002376972;53.46586;1.063479E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_53_413.jpg;0;0;0;0;99.66999;85.58897;0.0002381615;53.22765;9.041492E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_53_479.jpg;0;0;0;0;99.66999;85.58897;0.000238244;53.22765;6.76341E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_53_545.jpg;0;0;0;0;99.66999;85.58897;0.0002383601;53.22765;4.384065E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_53_613.jpg;0;0;0;0;99.66999;85.58897;0.0002387287;53.22765;1.24516E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_53_679.jpg;0;0;0;0;99.66999;85.58897;0.0002388791;53.22765;-5.604974E-07
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_53_747.jpg;0;0;0;0;99.66999;85.58897;0.0002386754;53.22765;-1.977758E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_53_814.jpg;0;0;0;0;99.66999;85.58897;0.0002383365;53.22765;-3.664878E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_53_880.jpg;0;0;0;0;99.66999;85.58897;0.0002382175;53.22765;-4.660353E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_53_946.jpg;0;0;0;0;99.66999;85.58897;0.0002381325;53.22765;-5.419612E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_013.jpg;0;0;0;0;99.66999;85.58897;0.0002381656;53.22765;-6.195852E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_079.jpg;0;0;0;0;99.66999;85.58897;0.0002382834;53.22765;-6.550312E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_146.jpg;0;0;0;0;99.66999;85.58897;0.0002383508;53.22765;-6.752858E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_213.jpg;-2.988855;0;0;0;99.66999;85.58897;0.0002397484;52.69034;-4.328319E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_279.jpg;-2.985253;0;0;0;99.66999;85.58897;0.0002392034;52.06287;-2.137652E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_345.jpg;0;0;0;0;99.66999;85.58897;0.0002386657;51.88376;-1.555366E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_412.jpg;0;0;0;0;99.66999;85.58897;0.0002379285;51.88376;-2.035887E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_479.jpg;0;0;0;0;99.66999;85.58897;0.0002375286;51.88376;-2.512748E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_546.jpg;0;0;0;0;99.66999;85.58897;0.0002372471;51.88376;-3.005182E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_612.jpg;0;0;0;0;99.66999;85.58897;0.0002370527;51.88376;-3.749805E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_679.jpg;0;0;0;0;99.66999;85.58897;0.0002367015;51.88376;-4.040502E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_746.jpg;0;0.200034;0;0;99.66978;85.58871;359.9924;51.91339;5.648746E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_813.jpg;0;0;0.3998789;0;99.67082;85.59003;0.02661926;51.92855;-8.902091E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_879.jpg;0;0;0.6002639;0;99.67081;85.59004;0.02371103;51.92855;-9.116535E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_54_945.jpg;0;0;0.8000729;0;99.67081;85.59004;0.02056309;51.92855;-9.094774E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_013.jpg;0;0;0.999885;0;99.67083;85.59004;0.01612754;51.92856;-8.798203E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_080.jpg;0;0;1;0;99.67084;85.59004;0.01271894;51.92857;-8.388243E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_146.jpg;0;0;1;0;99.67085;85.59004;0.009318296;51.92857;-7.828161E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_213.jpg;0;0;1;0;99.67086;85.59004;0.004907471;51.92859;-6.943539E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_279.jpg;0;0;1;0;99.67087;85.59004;0.001766578;51.92859;-6.181881E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_345.jpg;0;0;1;0;99.67085;85.59005;-0.001175585;51.92859;-5.331638E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_412.jpg;0;0;1;0;99.67085;85.59006;-0.004717875;51.92858;-4.19435E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_479.jpg;0;0;1;0;99.67085;85.59005;359.993;51.92858;-3.348289E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_546.jpg;0;0;1;0;99.67085;85.59005;359.9909;51.92858;-2.481759E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_612.jpg;0;0;0;0;99.67085;85.59005;359.9887;51.92858;-1.412374E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_679.jpg;0;0;0;0;99.67086;85.59005;359.9875;51.92859;-6.465001E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_745.jpg;0;0;0;0;99.67085;85.59006;359.9866;51.92859;6.920235E-07
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_813.jpg;0;0.1000469;0;0;99.67077;85.58996;359.9832;51.92827;9.188906E-06
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_879.jpg;0;0.300009;0;0;99.67146;85.59084;0.007675776;51.66086;9.15864E-05
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_55_945.jpg;0;0.500217;0;0.02635674;99.67316;85.593;0.06597782;51.64827;0.0001553636
/Users/burnsca/code/RoboND-Rover-PRoject/IMG/robocam_2017_05_31_20_44_56_012.jpg;0;0.699663;0;0.065732;99.67907;85.60048;0.2615827;51.64717;0.0002382386
